CPU-etcd-minikube,CPU-kalic,Memory_Cache-etcd-minikube,Memory_Cache-kalic,Memory-etcd-minikube,Memory-kalic,write-etcd-minikube,write-kalic
0.199,296.87,28.7,1843.2,72.7,189,7.99,6.06
0.193,296.87,28.7,1955.84,72.7,196,7.77,6.06
0.198,283.35,28.7,2048.0,72.7,199,8.05,5.81
0.198,296.91,28.7,2170.88,72.7,201,7.99,6.04
0.192,287.39,28.8,2263.04,72.7,210,7.68,5.89
0.198,296.88,28.8,2406.4,72.7,211,8.04,6.06
0.197,283.45,28.8,2539.52,72.7,210,8.07,5.83
0.199,296.86,28.8,1628.16,72.7,185,8.05,6.21
0.198,296.87,28.9,1730.56,72.7,187,8.07,6.13
0.198,296.81,28.9,1843.2,72.7,193,8.08,6.11
0.198,296.82,28.9,1966.08,72.7,204,8.08,6.12
0.197,296.88,28.9,2068.48,72.7,202,8.04,6.09
0.198,296.87,29.0,2201.6,72.7,206,8.02,6.13
0.189,296.79,29.0,2324.48,72.7,208,7.8,6.15
0.197,296.79,29.0,2437.12,72.7,208,8.05,6.11
0.197,296.83,29.0,2539.52,72.7,215,7.99,6.12
0.199,270.83,29.1,1597.44,72.7,189,8.03,5.53
0.198,296.77,29.1,1761.28,72.7,196,7.97,6.15
0.198,296.71,29.1,1873.92,72.7,208,7.96,6.16
0.189,296.66,29.2,1976.32,72.7,203,7.6,6.15
0.19,296.58,29.2,2088.96,72.7,200,7.68,6.1
0.198,296.51,29.2,2191.36,72.7,205,7.98,6.11
0.198,281.04,29.2,2263.04,72.7,208,7.97,5.81
0.198,296.67,29.3,2426.88,72.7,220,8.07,6.13
0.198,296.69,29.3,2549.76,72.7,217,8.1,6.1
0.199,296.67,29.3,1648.64,72.7,185,8.13,6.17
0.19,282.83,29.3,1710.08,72.7,191,7.83,5.8
0.199,284.15,29.4,1894.4,72.7,199,8.09,5.84
0.193,296.79,29.4,2017.28,72.7,212,7.88,6.06
0.2,296.8,29.4,2109.44,72.7,197,8.19,6.04
0.2,296.84,29.4,2181.12,72.7,204,8.15,6.03
0.2,296.85,29.5,2304.0,72.7,207,8.21,6.01
0.199,296.87,29.5,2437.12,72.7,211,8.1,6.07
0.2,282.7,29.5,2549.76,72.7,224,8.11,5.77
0.199,296.84,29.6,1689.6,72.7,197,7.98,6.19
0.197,296.82,29.6,1761.28,72.7,192,8.03,6.11
0.196,296.8,29.6,1873.92,72.7,193,8.0,6.09
0.195,296.84,29.6,1996.8,72.7,192,8.04,6.17
0.185,296.9,29.6,2119.68,72.7,201,7.62,6.18
0.194,296.93,29.7,2232.32,72.7,205,8.0,6.2
0.194,296.93,29.7,2293.76,72.7,213,8.0,6.23
0.195,296.92,29.7,2437.12,72.7,211,8.06,6.22
0.195,296.93,29.8,2539.52,72.7,215,8.0,6.22
0.196,296.92,29.8,1628.16,72.7,186,8.03,6.26
0.196,286.99,29.8,1761.28,72.7,194,7.92,6.06
0.182,296.84,29.8,1884.16,72.7,194,7.4,6.29
0.19,296.85,29.9,2017.28,72.7,200,7.75,6.22
0.197,296.86,29.9,2088.96,72.7,200,8.09,6.22
0.199,296.88,29.9,2232.32,72.7,208,8.07,6.2
0.198,296.88,29.9,2344.96,72.7,211,8.06,6.19
0.198,296.84,30.0,2447.36,72.7,212,8.06,6.19
0.189,296.77,30.0,2560.0,72.7,225,7.71,6.17
0.197,284.49,30.0,1628.16,72.7,187,8.0,6.0
0.191,296.7,30.0,1771.52,72.7,188,7.82,6.2
0.197,296.78,30.1,1894.4,72.7,197,7.99,6.19
0.197,296.87,30.1,2007.04,72.7,196,8.11,6.15
0.196,296.84,30.1,2129.92,72.7,206,8.0,6.13
0.188,296.83,30.1,2201.6,72.7,204,7.68,6.11
0.188,296.78,30.2,2324.48,72.7,212,7.56,6.1
0.198,283.87,30.2,2457.6,72.7,213,7.98,5.82
0.197,296.81,30.2,1576.96,72.7,184,8.01,6.12
0.198,296.85,30.3,1689.6,72.7,192,8.09,6.18
0.186,296.88,30.3,1761.28,72.7,193,7.6,6.15
0.189,296.83,30.3,1925.12,72.7,198,7.68,6.14
0.197,283.04,30.3,1986.56,72.7,208,7.89,5.91
0.197,296.75,30.3,2119.68,72.7,199,7.85,6.22
0.195,296.84,30.4,2232.32,72.7,201,7.87,6.24
0.195,296.89,30.4,2344.96,72.7,212,7.93,6.24
0.195,296.88,30.4,2488.32,72.7,217,7.81,6.2
0.195,296.92,30.5,1587.2,72.7,185,7.79,6.2
0.187,296.91,30.5,1689.6,72.7,192,7.49,6.27
0.195,296.93,30.5,1792.0,72.7,194,7.78,6.18
0.195,287.99,30.5,1884.16,72.7,194,7.78,5.99
0.195,296.99,30.6,2058.24,72.7,199,7.76,6.14
0.194,296.99,30.6,2160.64,72.8,205,7.76,6.1
0.195,297.03,30.6,2232.32,72.8,217,7.83,6.09
0.195,297.04,30.6,2385.92,72.8,208,7.86,6.08
0.196,297.03,30.7,2467.84,72.8,211,7.97,6.08
0.196,297.04,30.7,1587.2,72.8,185,8.0,6.14
0.195,283.56,30.7,1699.84,72.8,187,7.91,5.88
0.186,296.98,30.8,1822.72,72.8,192,7.59,6.18
0.195,296.92,30.8,1945.6,72.8,200,7.97,6.12
0.187,286.97,30.8,1996.8,72.8,204,7.73,5.95
0.196,296.78,30.8,2140.16,72.8,206,8.04,6.14
0.194,296.73,30.9,2263.04,72.8,205,7.95,6.13
0.188,296.71,30.9,2396.16,72.8,210,7.7,6.12
0.195,296.62,30.9,2467.84,72.8,202,7.86,6.11
0.195,283.17,30.9,1597.44,72.8,180,7.93,5.86
0.195,296.66,30.9,1720.32,72.8,186,8.02,6.16
0.196,282.85,31.0,1761.28,72.8,188,8.04,5.83
0.196,296.6,31.0,1945.6,72.8,190,7.99,6.08
0.196,296.61,31.0,2068.48,72.8,204,8.01,6.07
0.197,296.62,31.1,2181.12,72.8,203,8.04,6.03
0.196,296.62,31.1,2242.56,72.8,206,8.07,6.05
0.197,296.68,31.1,2365.44,72.8,215,8.01,6.07
0.198,296.66,31.1,2478.08,72.8,216,8.12,6.09
0.197,296.69,31.2,1587.2,72.8,188,8.06,6.07
0.197,296.67,31.2,1710.08,72.8,184,8.0,6.1
0.198,285.53,31.2,1781.76,72.8,192,7.98,5.81
0.187,280.48,31.2,1873.92,72.8,193,7.6,5.7
0.19,296.81,31.3,2068.48,72.8,204,7.79,6.07
0.197,296.84,31.3,2181.12,72.8,205,8.07,6.08
0.196,283.13,31.3,2222.08,72.8,206,8.02,5.79
0.197,280.94,31.3,2324.48,72.8,207,8.03,5.74
0.196,296.99,31.4,2478.08,72.8,209,7.98,6.1
0.196,296.98,31.4,1607.68,72.8,218,7.94,6.16
0.195,296.96,31.4,1720.32,72.8,186,7.92,6.19
0.196,296.98,31.4,1792.0,72.8,189,7.99,6.15
0.195,296.98,31.5,1925.12,72.8,208,8.02,6.14
0.185,296.98,31.5,2068.48,72.8,201,7.64,6.11
0.194,296.99,31.5,2140.16,72.8,199,8.02,6.15
0.188,296.96,31.6,2252.8,72.8,208,7.8,6.16
0.194,296.92,31.6,2406.4,72.8,210,8.05,6.19
0.194,296.88,31.6,2478.08,73.0,217,8.08,6.16
0.195,296.81,31.6,1607.68,72.8,190,8.1,6.11
0.196,296.81,31.7,1720.32,72.8,187,8.16,6.12
0.196,281.58,31.7,1781.76,72.8,194,8.16,5.81
0.195,296.82,31.7,1955.84,72.8,194,8.13,6.16
0.196,296.87,31.7,2068.48,72.8,200,8.07,6.13
0.196,296.82,31.8,2140.16,72.8,205,8.11,6.14
0.197,296.87,31.8,2273.28,72.8,208,8.14,6.11
0.19,281.15,31.8,2334.72,72.8,221,7.8,5.79
0.198,296.94,31.8,2508.8,72.8,212,8.18,6.08
0.198,296.89,31.9,1617.92,72.8,188,8.02,6.15
0.198,296.88,31.9,1751.04,72.8,192,8.04,6.23
0.198,296.82,31.9,1873.92,72.8,189,7.98,6.16
0.191,296.81,31.9,1976.32,72.8,195,7.69,6.11
0.198,296.81,32.0,2048.0,72.8,203,7.96,6.11
0.198,286.34,32.0,2140.16,72.8,204,7.95,5.89
0.181,296.82,32.0,2273.28,72.8,201,7.26,6.1
0.195,296.74,32.1,2385.92,72.8,219,7.87,6.17
0.196,296.76,32.1,2508.8,72.8,216,7.9,6.14
0.196,296.73,32.1,1617.92,72.8,186,7.92,6.2
0.197,296.8,32.1,1720.32,72.8,194,7.98,6.18
0.197,287.41,32.2,1822.72,72.8,196,7.96,5.93
0.198,296.6,32.2,1945.6,72.8,194,7.96,6.17
0.198,296.58,32.2,2058.24,72.8,201,7.98,6.15
0.198,296.6,32.2,2170.88,72.8,204,7.98,6.15
0.197,296.55,32.3,2273.28,72.8,202,7.92,6.11
0.197,296.6,32.3,2406.4,72.8,214,8.01,6.06
0.19,296.63,32.3,2519.04,72.8,213,7.66,6.04
0.199,284.76,32.3,1638.4,72.8,186,8.01,5.87
0.198,296.6,32.4,1761.28,72.8,198,7.98,6.13
0.198,296.63,32.4,1873.92,72.8,195,8.03,6.07
0.197,296.87,32.4,1986.56,72.8,212,7.99,6.1
0.197,296.94,32.4,2119.68,72.8,205,8.07,6.06
0.188,296.96,32.5,2170.88,72.8,207,7.71,6.09
0.189,296.95,32.5,2334.72,72.8,216,7.82,6.08
0.197,296.94,32.5,2396.16,72.8,211,8.13,6.08
0.196,284.14,32.5,2539.52,72.8,215,8.07,5.9
0.187,296.9,32.6,1669.12,72.8,189,7.59,6.26
0.196,296.91,32.6,1740.8,72.8,194,7.98,6.17
0.179,296.88,32.6,1873.92,72.8,192,7.32,6.15
0.197,296.86,32.6,1996.8,72.8,191,7.94,6.14
0.188,296.88,32.7,2099.2,72.8,202,7.61,6.13
0.196,283.83,32.7,2150.4,72.8,202,7.99,5.85
0.188,296.9,32.7,2293.76,72.8,212,7.65,6.13
0.197,296.93,32.7,2426.88,72.8,210,8.06,6.21
0.186,296.94,32.8,2529.28,72.8,212,7.61,6.13
0.199,296.91,32.8,1679.36,72.8,190,8.07,6.26
0.199,296.97,32.8,1781.76,72.8,188,8.01,6.19
0.198,296.98,32.9,1873.92,72.8,201,8.05,6.18
0.198,296.98,32.9,1976.32,72.8,196,8.0,6.19
0.198,296.98,32.9,2119.68,72.8,198,8.02,6.19
0.199,284.51,32.9,2160.64,72.8,202,8.03,5.96
0.2,296.99,33.0,2314.24,72.8,205,7.9,6.22
0.199,297.01,33.0,2416.64,72.8,209,7.98,6.2
0.198,284.88,33.0,2549.76,72.8,212,7.95,6.03
0.2,296.9,33.0,1648.64,72.8,194,8.05,6.32
0.199,296.87,33.1,1771.52,72.8,188,8.03,6.29
0.199,296.84,33.1,1884.16,72.8,196,8.12,6.29
0.2,285.43,33.1,1996.8,72.8,198,8.13,6.02
0.199,285.25,33.1,2058.24,72.8,198,8.14,5.95
0.199,296.9,33.2,2201.6,72.8,208,8.12,6.2
0.198,296.89,33.2,2314.24,72.8,225,8.13,6.15
0.197,296.82,33.2,2457.6,72.8,217,8.1,6.09
0.197,296.79,33.2,1576.96,72.8,190,8.14,6.12
0.197,296.82,33.3,1638.4,72.8,189,8.08,6.14
0.187,283.41,33.3,1781.76,72.8,193,7.63,5.82
0.196,296.85,33.3,1863.68,72.8,193,7.9,6.14
0.187,296.79,33.4,1996.8,72.8,198,7.45,6.09
0.186,296.71,33.4,2129.92,72.8,200,7.44,6.15
0.196,296.7,33.4,2242.56,72.8,202,7.82,6.14
0.196,296.66,33.4,2365.44,72.8,211,7.82,6.19
0.196,285.86,33.5,2416.64,72.8,220,7.72,5.97
0.197,296.65,33.5,1587.2,72.8,189,7.81,6.26
0.197,296.69,33.5,1699.84,72.8,192,7.91,6.32
0.189,296.72,33.5,1761.28,72.8,194,7.6,6.24
0.199,296.74,33.6,1894.4,72.8,191,8.08,6.2
0.191,296.78,33.6,1986.56,72.8,201,7.73,6.24
0.199,296.86,33.6,2099.2,72.8,202,8.04,6.25
0.199,296.9,33.6,2222.08,72.8,211,7.95,6.23
0.198,296.91,33.7,2324.48,72.8,214,7.97,6.19
0.189,296.89,33.7,2457.6,72.8,215,7.63,6.16
0.19,296.92,33.7,1576.96,72.8,181,7.65,6.14
0.191,283.51,33.7,1628.16,72.8,214,7.69,5.88
0.197,296.91,33.8,1812.48,72.9,187,8.01,6.21
0.198,296.88,33.8,1884.16,72.9,195,7.97,6.24
0.197,296.89,33.8,1976.32,72.8,196,8.0,6.22
0.196,296.94,33.9,2109.44,72.9,209,7.99,6.17
0.188,296.9,33.9,2211.84,72.9,206,7.73,6.21
0.196,296.94,33.9,2355.2,72.9,215,8.07,6.19
0.196,284.08,33.9,2467.84,72.9,211,8.1,6.0
0.197,297.01,34.0,1576.96,72.9,192,8.08,6.25
0.195,296.95,34.0,1699.84,72.9,202,8.0,6.35
0.197,296.95,34.0,1771.52,72.9,195,8.05,6.26
0.197,296.96,34.0,1873.92,72.9,192,8.11,6.22
0.196,296.98,34.1,2048.0,72.9,203,8.09,6.15
0.196,296.93,34.1,2160.64,72.9,208,8.07,6.15
0.197,296.87,34.1,2222.08,72.9,200,8.03,6.17
0.197,296.9,34.1,2385.92,72.9,212,7.97,6.09
0.197,282.61,34.2,2447.36,72.9,216,7.91,5.78
0.197,296.83,34.2,2570.24,72.9,215,7.96,6.03
0.188,296.87,34.2,1679.36,72.9,185,7.66,6.11
0.197,296.79,34.2,1832.96,72.9,191,8.04,6.04
0.197,296.77,34.3,1914.88,72.9,197,8.03,6.03
0.19,296.77,34.3,2037.76,72.9,204,7.77,6.06
0.196,296.75,34.3,2181.12,72.9,202,8.07,6.06
